game_id,home_team,away_team,predicted_winner,actual_winner,prediction_correct,predicted_home_win,predicted_away_win,predicted_draw,predicted_home_win_percent,predicted_away_win_percent,predicted_draw_percent,predicted_home_5v5_goals_mean,predicted_home_powerplay_goals_mean,predicted_home_total_goals_mean,predicted_home_5v5_xgf_p60_mean,predicted_home_powerplay_xgf_p60_mean,predicted_home_5v5_toi_mean,predicted_home_powerplay_toi_mean,predicted_home_shorthanded_toi_mean,predicted_away_5v5_goals_mean,predicted_away_powerplay_goals_mean,predicted_away_total_goals_mean,predicted_away_5v5_xgf_p60_mean,predicted_away_powerplay_xgf_p60_mean,predicted_away_5v5_toi_mean,predicted_away_powerplay_toi_mean,predicted_away_shorthanded_toi_mean
2025020695,WPG,LAK,LAK,WPG,0,4060,5892,48,0.406,0.5892,0.0048,1.9566663477837585,0.6412950568705185,2.597961404654277,2.5485,7.1324,46.10515333327164,5.400488346781695,4.396158319946666,2.202070582759963,0.8241313725800506,3.0262019553400137,2.8657,11.2256,46.10515333327164,4.396158319946666,5.400488346781695
2025020530,DET,UTA,UTA,UTA,1,4511,5435,54,0.4511,0.5435,0.0054,2.1877788896936026,0.5276683828682288,2.715447272561831,2.7515,6.9293,47.68888671994998,4.564279426834594,3.7238338532154316,2.512217265880669,0.4353656687288786,2.947582934609548,3.1607,7.008,47.68888671994998,3.7238338532154316,4.564279426834594
2025020148,PIT,STL,STL,PIT,0,2056,7903,41,0.2056,0.7903,0.0041,1.9625715365017768,1.2521854650330682,3.2147570015348452,2.782,9.6232,42.35218235921294,7.806185245025125,6.377632395761937,3.922311431645529,1.0869983228129945,5.009309754458524,5.5547,10.2336,42.35218235921294,6.377632395761937,7.806185245025125
2025020593,CAR,DET,DET,CAR,0,4917,5037,46,0.4917,0.5037,0.0046,2.486878178801956,0.699147633424432,3.186025812226388,3.1919,9.9487,46.735572215435965,4.217244093336841,4.45728369122719,2.3628107521034063,0.8401522098747933,3.2029629619781996,3.0351,11.309,46.735572215435965,4.45728369122719,4.217244093336841
2025020427,OTT,NYR,NYR,NYR,1,3814,6144,42,0.3814,0.6144,0.0042,1.5830306137639636,0.4828501108510042,2.065880724614968,1.9963,6.3484,47.64918343155866,4.570142135248099,3.9266744331932424,1.9099938187601735,0.6692859940963475,2.579279812856521,2.4068,10.228,47.64918343155866,3.9266744331932424,4.570142135248099
2025020712,BOS,PIT,PIT,BOS,0,3955,5997,48,0.3955,0.5997,0.0048,2.2512935728864973,0.42356052697929353,2.6748540998657906,2.82,5.8083,47.90774264390155,4.377981611417142,3.8112757446813097,2.579231577711509,0.6218814673634212,3.20111304507493,3.2312,9.8068,47.90774264390155,3.8112757446813097,4.377981611417142
2025020329,ANA,OTT,OTT,OTT,1,3673,6274,53,0.3673,0.6274,0.0053,1.7820429869648309,0.5333713239874744,2.3154143109523053,2.3281,8.1117,45.88038513321668,3.9395151402220594,5.570499726561265,2.3226405038622278,0.5836174628380268,2.906257966700255,3.0382,6.2758,45.88038513321668,5.570499726561265,3.9395151402220594
2025020478,UTA,FLA,UTA,FLA,0,5255,4681,64,0.5255,0.4681,0.0064,2.1603424756143994,0.7229466090209138,2.8832890846353134,3.0104,7.2158,43.03291895966632,5.999607981526047,6.071273058807635,1.9200132698066406,0.8196998115661005,2.739713081372741,2.6752,8.1008,43.03291895966632,6.071273058807635,5.999607981526047
2025020665,CGY,SEA,CGY,SEA,0,6768,3177,55,0.6768,0.3177,0.0055,2.404052333026948,0.7123214595299145,3.1163737925568626,3.0099,9.7929,47.89433680523997,4.372836648388104,3.5318265463719247,1.7042125290231034,0.5406183764089917,2.244830905432095,2.1322,9.1522,47.89433680523997,3.5318265463719247,4.372836648388104
2025020319,TOR,CBJ,CBJ,CBJ,1,2905,7062,33,0.2905,0.7062,0.0033,1.9598417247776978,0.6638250338790241,2.623666758656722,2.431,10.4463,48.38811223721885,3.8166829971042295,3.61550476567692,2.558634524445782,1.1884944735675544,3.7471289980133364,3.1704,19.7096,48.38811223721885,3.61550476567692,3.8166829971042295
2025020343,NSH,COL,COL,COL,1,2413,7536,51,0.2413,0.7536,0.0051,1.571899436493646,0.5991780983941205,2.1710775348877664,2.1126,6.6758,44.6548815851249,5.384689128068406,6.082229286806698,2.7252205531787532,0.7536350847436338,3.4788556379223867,3.6564,7.429,44.6548815851249,6.082229286806698,5.384689128068406
2025020743,CBJ,VAN,CBJ,CBJ,1,5963,3994,43,0.5963,0.3994,0.0043,2.5668043577890733,0.7031872425153554,3.269991600304429,3.2941,9.7512,46.76864056956507,4.337356765214673,4.8877026652202575,1.925405187914338,0.8595070006057202,2.784912188520058,2.4703,10.5657,46.76864056956507,4.8877026652202575,4.337356765214673
2025020232,PHI,OTT,OTT,OTT,1,3536,6417,47,0.3536,0.6417,0.0047,1.3090152125863292,0.42216654831620154,1.7311817609025308,1.6851,7.693,46.590299809037745,3.298235218191823,6.187864972770435,1.4106431033357816,0.8702628272468733,2.2809059305826547,1.8171,8.4288,46.590299809037745,6.187864972770435,3.298235218191823
2025020516,WPG,OTT,OTT,OTT,1,2922,7031,47,0.2922,0.7031,0.0047,1.7873722129320948,0.4977679890218203,2.285140201953915,2.3576,6.5838,45.518513089420054,4.533377835779799,5.274709074800146,2.370699672448962,0.9053353489809333,3.2760350214298954,3.125,10.2899,45.518513089420054,5.274709074800146,4.533377835779799
